Insult,Date,Comment
0,20120529230121Z,"""even though i think there are better coaches out there, i am glad del negro is keeping his job. i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs 2 years in a row"""
0,20120611201838Z,"""russellpiano hm.how can we spin obama honoring vietnam troops as something negative.answer: doesn't matter! look at our followers. they will take anything. _________________________________________________________________________________________ obama team: ""hm, how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york times?i know, lets have a bogus photo shoot at the viet nam memorial. that will make obama look like he cares about vets (but first we will have to clear all the vets out of the immediate area because they cannot be trusted)."""""
0,20120529115214Z,"""a good article, which, for all the good it will do, could have been delivered to a brick wall."""
0,,"""head is up warning.another source of funding for media matters is peter lewis of the progessive insurance company. you know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and a perfectly round mouth.if you know what i mean. if you have progressive auto insurance, just know that part of you are premium is going to fund a progressive liberal organization hell bent on destroying our country and our free speech. their mission is to bring down hannity,beck,dobbs,lavin,limbaugh,boortz,etc. we must not let them win."""
0,20120620055647Z,"""-PRON- lol as if capcom listens. watch them fuck this up too. i hope i am wrong. i love okami."""
1,20120515132156Z,"""allinit123, you are sickening, you ignorant loser."""
0,20120620011710Z,"""fast & furious did not work out like they planned did it?. lol"""
0,20120530111709Z,"""mitt isn't the best candidate for president.but, going against the worst should help him tremendously. obama is one and done.it could happen no other way."""
1,20120620161958Z,"""i cannot believe the stupid people on this site that have no idea what is going on. you fools. you are all useful idiots. they are hiding the truth because you fools who protect him would look like the useful idiots you are."""
1,20120609163743Z,"""fucking behave then you prick!"""
0,20120619094846Z,"""the only ""other"" relevant fact is that he is destroying america!"""
0,20120609175446Z,"""you are a liar."""
1,20120620075045Z,"""is that it?? you are sum total to any conversation is first abuse and then calling them a troll.. you are a typical socialist idiot. keep up you are non existent class warfare, it is as pointless as you."""
0,20120619231647Z,"""-PRON- -PRON- welp then nbw right?"""
0,20120620024445Z,"""good job, fellas. i did not quite read the rules about a signature piece, but i guess that was as good as any. i found some great blogs to follow, and to share over at g+. if i'm not commenting on you are blogs, it is because i always throw my two cents in when i post my share. add me on there if you are a googler. again, congratulations to the winners, and i hope we get the chance to submit something else. this was fucking fun."""
0,,"""i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment. the lady had a kid 1 week ago. women aren't safe to have sex after child birth for at least 6 weeks. so even if this was consensual, it would have been way too soon and hurt the lady. i am so glad the the baby is so young and will not remember this event happening in it is house and i hope the mother recovers quickly."""
1,20120619074710Z,"""faggot"""
0,20120529201852Z,"""you right if you are relaxe then you can give better result or perform and you are identity should be from you are work."""
1,20120529130844Z,"""aimless abe you are a delusion weirdo that should be locked up inside and kept away from computers. anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end."""
0,20120610150536Z,"""that, i do not doubt. .as a blackberry clone. but, you are original argument was not that android would have existed, just that android somehow predates ios development."""
0,20120530023429Z,"""okc should work out a deal to get a pg who plays more like parker or cp3. i think nash at the point, and move westbrook to sg that team would be unstoppable. imagine the shots nash would create for durant. then westbrook would be at his natural position too, the guy doesn't create shots or distribute."""
0,20120619183841Z,"""maher is show goes on and on. palin is alakda show gets canceled. isn't the ""free market"" wonderful?"""
1,20120320131007Z,"""even as a troll you are a pathetic failure."""
0,20120529231612Z,"""grazie mille sabrina! sei cos dolce. baci."""
0,20120530064120Z,"""yeah well, it would still be better than letting them sit there for 20-30 years on my dime before sticking a needle in their veins. i say give them all a noose. if they choose to kill themselves, so be it."""
0,20120612003945Z,"""um holy fuck i need a cigarette"""
1,20120502173058Z,"""you are a moron, truth is beyond you are reach"""
0,20120529022638Z,"""you seem wistful."""
0,20120529141937Z,"""damn, speedy recovery, paul.raining prayers down on you!"""
0,20120528151453Z,"""the laughs you two heard were triggered by memories of his own high-flying exits off moving beasts"""
1,20120619203151Z,"""you are anti-semitic rants are not welcomed here. you are a racist moron. fu!"""
0,20120620175146Z,"""-PRON- was fredex on this team?"""
1,20120619033424Z,"""god, you are tiresome. get a life, you loser."""
0,20120612141919Z,"""stop pretending you are not bradley is side. you are the bs..are you blind do not give us that stupid of yours, like that 2 idiot judges exactly carbon copy !!.arum we need our money bacck !"""
0,20120610012708Z,"""fucking weird game man"""
0,20120620031132Z,"""i told you i would give it if you did. you started acting likje a tough guy behind you are moms computer then i asked you 20 times for an address and you still will not give it."""
0,20120619055834Z,"""i do not know if lewis is a little boy or little girl. either way it becomes the third on my list of petulant idiots. you will understand when you grow up. ask an old bastard member of you are family to explain. such actions cannot be tolerated. how come you blame the line judge? weird."""
0,20120620015832Z,"""thats a pathetic flop fuck you jvg"""
0,20120611195156Z,"""why should they bother improving ios if they sell more phones than they care to produce. these advice are better served to the also-runs. wp first and foremost"""
0,,"""spursruss: i live in argentina and its not all argentinians. the problem being those who are loud on the issue are ill educated and you can be sure they wouldn't be rushing to fight anyone, they would be cowering in the background. my wife is argentinean and she is the first one to recognize the stupidity of the claims. some of muppet think they fought their independence against the uk, morons the lot of them. the answer is simple, if we were the leading colonial force, you would be an english speaking country, you aren't, because werent it was spain, portugal, france, our interests were commercial. also the worst part is they themselves exterminated the natives, the spanish started it but actually it was the newly formed argies which did most of the killing of the native, lovely eh? clueless stuff, you wonder why the government gets away with corruption, so many ignorant people thats why.you shouldnt judge all by the standard, these a huge amount of argies who see the cristina drum beating for what it is, the same as all presidents of argentina do, using it to cover their failing."""
0,20120527153941Z,"""you better hope because the marlins have a history of giving up their superstars"""
0,,"""well, you guys have gone and done it now. you put the words 'china' and 'chinese' up the required number of times for the dating asians ad to come up. evidently, ms. zhang, 50kg and 168cm [for a bmi of 17.8] from 'hunan china' wants to meet me. she has her little mouth open like she is speaking. what is that you ask, zhang? well, yes, as a matter of fact i am a physician. why are you clapping you are hands together and jumping up and down? stop that squealing, young lady and 'exprain' yourself!"""
0,20120620154731Z,"""you mean like you are off topic obama rant bellow?"""
0,20120529035809Z,"""i hope they do it inconjunction with july 4."""
0,,"""surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country?"""
0,20120611225404Z,"""i haven't watched fox news in years, true."""
0,20120528200101Z,"""are you in france?"""
0,20120620001100Z,"""i will take that temp.i really hate the heat"""
0,20120620070034Z,"""alexis bledel can act. wait. can she? i have this blind spot when it comes to impossibly beautiful women. shit, maybe she cannot act. fuck, what the hell do i do now? what the hell do i do now!?"""
0,20120612035513Z,"""i like you are comments. however i would go one step further. it is not time to ""let"" the people of il fight back. rather the citizens of il just need to fight back period. i will carry next time i travel into ""little beirut"". i.e. chicago"""
1,20120619194023Z,"""fact : georgia passed a strict immigration policy and most of the latino farm workers left the area. vidalia georgia now has over 30 agriculture job openings and they have been able to fill about 250 of them in past year. all you white real americans who are looking for work that the latinos stole from you..where are you ? the jobs are i vadalia just waiting for you..or maybe its the fact that you would rather collect unemployment like the rest of the tea klaners.. you scream..you complain..and you sit at home in you are wife beaters and drink beer..typical real white tea klan."""
1,20120530000452Z,"""of course you would bottom feeder ."""
0,20120619201802Z,"""m!!"
1,20120619162450Z,"""you are a fucking moron. you are just butthurt that you got rejected on wikipedia. call yoursilf scolar or whatever. i am better than you, just 14 and already a wikipedia administrator. you are just a stupid ashole."""
0,20120528135045Z,"""he is doing what any president doe is on this day. i do not recall if other presidents appeared at the wall. election year. yea, but then again you would never say anything if he did not appear. you can not have it both ways."""
0,20120619193808Z,""".yeah, and you are a f'ing expert.go back to picking through trash barrels you tool"""
0,20120618201005Z,"""those trails will definitely get plowed regardless of the investigation. they will just see it as easier to plow the area than deal with it. and once they got plowed i would never return or risk getting stopped and heavily questioned by the po-po is. p.s. - all the stupid comments are unnecessary. it is really easy to be cold and heartless and act like you do not give a fuck. but i would like to see these anonymous commentators talk shit like that in front of this person is family or even their own mother is. grow up children and learn some respect."""
0,20120529200220Z,"""suh had a sack the last time they played."""
0,20120612001540Z,"""and you are support argument a-hole. not everyone games on their pc is either. whores miss the point entirely. i prefer the mac to my daily work. beings said, i'm also a big believer in the best tool for the job and there are certain things that pc is do better, (database and servers for instance) the thing is that you havent proved anything other than an anti apple bias and name calling (guilty myself to get you are attention) id just juvenile"""
1,20120619171832Z,"""you are a fucking dumb ass!. go back to you xbox dickhead. grow up you little fanboy."""
0,20120515062952Z,"""you know what would be fun? if you guys talked crap back to us. more entertaining"""
0,,"""-PRON- -PRON- .i'm assuming you are in school in the states."""
0,,"""they should put all the gay and lesbians on an island oh wait there is manhattan. """
0,20120610020958Z,"""yolo. this is hilarious. canyon students are so racist! even though most of us are mexican! fuck gabby!"""
1,20120502203704Z,"""lets see you are papers arealconservati. till then shut the fuuk up sticky-chin."""
0,,"""an interesting angle of organized religion is that religious persecution is never ok unless you are defending you are own religion. you all aren't victims of religious oppression. you are the oppressors. btw, i'm not gay. i just love how you people try to defend you are persecution of others while claiming you are are being persecuted."""
1,,"""correction bitch! you do not think it is superb because you are hating ass doesn't know talent..and again i am still waiting on you to submit a video of you singing..where is the youtube link? i am sure you will get all kinds of rave reviews lol"""
1,20120611215519Z,"""i think the only trickle that effected you was the trickle of sperm you are dad gave you are mom and most of that trickled down her leg. go back to sleep, we will wake you when you are needed again."""
1,20120515142854Z,"""and you keep on you are knees and keep telling yourself that is a sausage in you are mouth. and that is cream cheese you are swallowing."""
0,20120620125953Z,"""what was that, like 20 words about nothing? you are going after andrea mitchell? what, was fox infomercial not broadcasting yesterday? how about the apologies issued for the ""epa drones""? and yet here you are attacking andrea mitchell about some stupid gas station gimmick. here is another newsflash for you, mr. romney (r1%) is out of touch. we all already know it. mr. romney is amazement wasn't just about some gadget at a ""petrol filling post"" but that people could actually buy food products there and that they actually eat it. this very second mr. romney isn't even carrying a wallet. and it is very likely that he doesn't even know where it is. i'm still waiting for someone to ask him the tough campaign trail question of ""how much does a gallon of milk cost?"". andrea mitchell and gas station food. unbelievable."""
0,20120619032603Z,"""-PRON- needs to give me a fucking like-PRON- everyone doin?"""
1,20120514051227Z,"""fuck you both"""
0,20120619182936Z,"""powers, msnbc is far far more biased and hostile in it is comments than fox. at least at fox there are usually opposing views. msnbc is just a shill for the president. and they keep having to fire their hosts for all the outrageous remarks they make. now, cnn is getting almost as bad as msnbc."""
0,20120527213608Z,"""what horrible trades are you talking about?"""
1,20120320212724Z,"""and retards like you back to the institutions."""
0,20120610004410Z,"""weapons lol hes an idiot an waste of human space had it made and ruined it all"""
0,20120529210906Z,"""not a big fan of rondo, but the dude can ball.i wouldn't classify him as a big talker, just trying to psyche himself up."""
1,20120619190700Z,"""pig maher, you forgot you are meds again. you know you are one sick sob so do not forget."""
0,20120611201812Z,"""it is not just the rich screaming about taxes. it is the average middle class american who pays his/her taxes and doesn't see the benefit of those taxes (but instead sees waste). i pay federal taxes, but i do not use public schools, i'm not collecting any govt welfare or benefits, i pay for my own healthcare etc. i use the roads and sewers, so i do not mind paying the city taxes that. my trash pick up is private, so i pay that directly to the trash company. should pay for what they'use', not on what they make. wants to be a part of society, one should and pay their fair share. that includes the rich or poor."""
1,20120320095936Z,"""mr. king isn't it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you."""
0,20120619203524Z,"""i'm amused by the fact that weblog cons drop any issue once it turns into a loser. this is an expression of that amusement."""
0,,"""gabriel. getting time to blow that horn?"""
0,20120529153517Z,"""exactly. like, i do not really give a shit how fat a person may or may not feel, but it really is shit when you are clothes do not fit. and not in a ""i'm so gross"" way but in a ""i cannot very well leave the house naked!!"" way."""
0,20120619204714Z,"""welfare queen into a whore, not a crack whore. think a whore is a more productive worker than a welfare queen."""
0,20120611235119Z,"""political correctness: political correctness is a doctrine, fostered by a delusional, illogical minority, and rapidly promoted by an unscrupulous lamestream media, which holds forth the proposition that it is entirely possible to pick up a piece of ch*t the clean end."""
1,20120620063410Z,"""what an ass you are.funny i see a lot more of you ""nuts"" in cars then i ever have of pilots in panes."""
1,20120530113926Z,"""you can take international law and shove it. you are such a schmuck, i don t know why i even comment on you are idiotic posts. the ""peace activists"" on the ship started hitting the soldiers with weapons in order to kill the."""
0,20120612023024Z,"""blown is a little pissy after he applied for a union job and was turned down. he is just another good republican minion spreading today is message."""
0,20120619224557Z,"""if you dont have a teleport and air-mix ups ""you are nothing to me"""""
0,,"""stop trying to sound like a victim bitch dont understand men dont have the same temper and not the same thoughts go through you are mind than ours.. you put a nigger on da spot get up in his face and start throwing yo stank breath on us believe me you got it coming yal go no right period"""
0,20120610065027Z,"""robert moroni you fucking dimwit, do you know what a parody is? it is a fucking parody of fox news and it sounds accurate to me!"""
1,20120514051108Z,"""the most evil, callous, vile, creature in all of mythology is you are made up god. stop killing and eating babies, you dirty christard!"""
0,20120620181659Z,"""oops! embarrassing (for me). you are right people1st. i bow to the superior movie intellect of you are son :)"""
0,20120612031614Z,"""if you throw trash out you are window, you get a yellow star bumper sticker."""
0,,"""once more we see where the soft immigration policy has let the citizens down. i bet they come from a family who have less education than a retarded hampster yet were given a nice new life in britain. reap what you sow."""
0,,"""nope. not working for me either.32-23-34w.facebook.com/annagillmodel you have my email! :) """
0,20120514051012Z,"""that jump shooting bit gets old. when you do not get calls on contact and get you are shot thrown off you look for separation and you jump shoot. especially if you is not big, which is most teams because bigs and longs are rare/expensive at pro level."""
0,20120528033457Z,"""""this was a tough loss for us, right now there are guys blowing each other in the locker room."" -scott brooks"""
1,20120320210420Z,"""you are a complete and utter moron."""
1,20120528221848Z,"""you are still a loser, man we must have really gotten under you are skin lol"""
0,,"""the ignorance here is astounding. clearly it says in the video that cleveland was already convicted of rape and is serving jail time for it. he is guilty. she was raped!! (for all of the morons who have said ugly statements about her or attacked the veracity of her story) the only determination that this court is trying to make is whether cash money should be held liable. i think it is reasonable that when you invite someone to make a professional presentation at you are company that you provide necessary protections for that individual. i do not care whether cleveland was employed or just ""a hanger-on"" a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with baby and slim is knowledge and permission. if you went to a store and were attacked by an employee or a ""friend of the boss"" (who was permitted to hang around premises), would you not hold the company responsible? """
0,20120620153735Z,"""fuck hard, then fuck slow, then fuck hard, and then start again."""
0,20120529130655Z,"""-PRON- you here for the wide receiver drama?"""
0,20120611211947Z,"""are you fucking kidding me no mirrors fuck you freesteam"""
1,20120618200449Z,"""nothing was confirmed in the 19th century you moron. there was no modern medical science to prove anything. dont try to quote from the same period of time that brought us the spanish inquisition. you are the lowest of the low, i feel sorry for you."""
1,20120619175937Z,"""my best friend who is allergic to wheat, corn, soy, red dye, yellow dye, pistachios, tree nuts, kiwis, cherries, oranges, bananas, and seafood. if she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath. last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic. i know a little about food allergies. i asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die. she said you are a bitch. so i do not really think it is insulting that she wants food allergies so she can die. i think we are back to you are a bitch."""
0,20120527182916Z,"""so not focusing on boston vs miami for a minute. who is the scarier opponent, sanan or okc?"""
1,20120610162400Z,"""floyd has a better knock out percentage than pacman you dumb fuck"""
0,20120612082854Z,"""so wat have you bn doing all along if you want to train them nw.we thot yo presence must strengthen the strike force bt proving otherws.shame!"""
0,20120619014349Z,"""the dean of mean is a typical tory who believes there is one law for him and another one for everyone else. big steve better get around to firing everyone at elections canada and replacing them with tory hacks before they really get into what the tories did in the 2011 campaign."""
0,,"""oh fab - we have a tennis player who has a sense of humour and who can smile. mr murray please note. mind you he has left it too late to cheer up. misery guts"""
0,20120609183518Z,"""you are repeating yourself, mate."""
1,20120612083701Z,"""you are one sick puppy."""
0,20120620155324Z,"""very true, indeed! i have tried to sit down and study for hours straight without any breaks and i'm not nearly as effective as when i take a few breaks."""
0,20120611013005Z,"""so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga"""
1,20120611204143Z,"""can i say dick on here? you are a dick."""
0,20120611171123Z,"""-PRON- right. never said it was fool proof tho."""
0,20120609231913Z,"""the wonders of plastic surgery <3"""
0,20120611173531Z,"""ron paul / cynthia mckinney 2012 the all wacko ticket! calling all paul sheep to the barn for you are daily feeding. do not forget you are wallet!"""
0,,"""go on move to hollywood, join russell brand and take dan lobe with you"""
1,,"""the way this fucking hoodrat is standing in that picture is boiling my blood. i would like to meet this cunt in an alley for a few minutes. selfish fucking twat."""
0,,""" today a group of argentine veterans from the falklands war beat the crap out of a senator of the peronist party, the party in power right now, for using them for political purposes. the people in argentina are getting tired of this ""show"" the politicians are doing to distract the argentine population from other far more important problems."""
0,20120527181201Z,"""we afford what we have to afford, marco."""
0,20120618223658Z,"""hey moron ""buttons1994"", kerry will not be able to bully obama like romney bullied a gay boy when he was in prep school by physically assaulting him. but the clown romney will not be able to bully obama in a debate either, so it is a wash."""
0,20120610043304Z,"""and like it matters, you are waiting for next year.i am still living in the playoffs.suck on it loser"""
0,,"""should have hung for what he did, this country is all for the monsters that lurk among us!"""
0,20120618200244Z,"""-PRON--PRON--PRON--PRON--PRON--PRON- right on. as long as we are both open and honest about how we come to our own conclusions, i couldn't give a shit if we disagree."""
0,20120619001635Z,"""they are pecking him to death he gives up ugly runs"""
0,,"""-PRON- jungwirth definitely thought that only deserved a 2, but hey, i takes what i gets!"""
0,20120620142254Z,"""i cannot trend i'm on my ipod touch"""
0,20120612020610Z,"""this was the joint back in the day! and am i the only one who thought gregory looked like he could be philip michael thomas' brother? lol"""
1,20120503001924Z,"""how old are you 12? knicks fan beeyatch! not a melo ball licker!"""
0,20120529224055Z,"""anything better than the grover norquist, tea party, wall street, corporatist gop."""
1,20120619195231Z,"""bitch nigger you need an eye exam, and eye glasses! cassie one of the finest women on earth!"""
0,20120609235433Z,"""are you attempting to be kinky here? you have some kind of fetish?"""
0,20120618204044Z,"""you get the gold star!the best post i have seen on here in months!!hilarious.great job,canadian!ps i think we need you to come down here.i will sponsor you!!"""
0,20120530024237Z,"""how old are you?"""
1,20120612051753Z,"""nothing worse then a idiot who smugs because of who he is, gay"""
1,20120528043620Z,"""you are a child rapist in ny. you have admitted it many times you sick fuck! you have no room to talk."""
0,20120529130729Z,"""-PRON- the man was a genius."""
1,20120611235146Z,"""anti american piece of-shit you are"""
1,20120502165117Z,"""have you be sipping at th e sacramental wine again? you really are a dense little dude."""
0,20120529093527Z,"""yes but remember - the government is listening to the views of the owner of wonga. wonga will loan you are business (at astonomical rates)"""
0,20120530054153Z,"""the tirade isn't what people caused people to dislike her. read her comments. like this one, ""i know of her story and her husband. we all have stories. i mean, i almost died, and venus is struggling herself. so, you know, it is life. "" she comes across as uncaring and selfish. on top of that she never gives an opponent any credit--it is always about what she did. i absolutely like venus--consistently root for her and have for years--but serena is an absolutely awful person that needs to grow up"""
0,,"""stacy c. is right - dumbama and his fat-ass wife and their cronies have created this atmosphere of govt. interference and what they feel govt entities should be doing. schools and others take their cues from the top down, and when they see this admin. forcing restaurants to publish calories on menus, then they feel they should be doing ""their part"" for their messiah and become food police. i cannot believe that a school puts out an approved food list. i would be suing. """
0,20120529113543Z,"""gallup daily may 24-26, 2012 updates daily at 1 p.m. et; reflects one-day change no updates monday, may 28; next update will be tuesday, may 29. obama approval48%- obama disapproval45%-1 presidential election obama47%- romney45%- 7-day rolling average it seems the bump romney got is over and the president is on his game."""
0,20120612120924Z,"""this is someone whose self-importance got the best of him. if anyone should be fired it would be tate. this kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand."""
0,20120530113019Z,"""don't stand on you are porch."""
0,20120528204226Z,"""camp has got to come in here and get this guy. this is where you earn you are money."""
0,,"""you could not be more wrong. the american tea party stands for limited government. fiscal responsibility, and a return to our constitution. the tea party when it rallies or protests does it legally with brains. we pay the permits, arrange the events, say our piece, and then clean up and go home. the occupukes on the other hand. are not only different, they are opposite. they trespass, they steal, they show up without permission. they damage private property, they collect urine and feces to throw on people. they set fires, they smash store windows. they rape young girls. i can go on and on. oh and the heat, ac and warm beds were all paid for by those people. do not kid yourself that we are not committed to our cause because we are not stupid like you or ows. there is a right way and a wrong way to do things. you and the occupunks have choosen the later."""
0,20120529084343Z,"""because that is how they get their rocks off. our government is run by pedophiles who sexually torture children."""
0,20120514051009Z,"""he actually said ""what a spoiled bitch i am"". i never hated colton the way most of the posters did, because i felt for him. being gay in a republican family, can only mean that you have been villified. he was dismayed that it was men vs women, as that took away any comfort zone he may have had. the men did not welcome him, and when he got power, it went to his ""spoiled bitch"" head."""
0,20120610074630Z,"""with inbreeds being the longest running malcontents."""
0,,"""quote from teresa may ""that is why we have been trying to deport him to jordan, his home country."" trying - since when does a sovereign have problems trying to deport diseased minded scum like him. stuff the eu laws and if the uk is 'fined' by the eussr for doing this then do not pay it . and then stop all financial payments to this corrupt experiment. it doesn't work, its broke so listen to the people camoron and have an in or out referendum .. now!"""
0,,"""-PRON- you are right concerning campbell. my bad. the qb carosel has me mixed up. anyways, i still do not like knapp and think we went that road with him once before and do not need to revisit it again. cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself. if knapp was truely great at what he does, he would have had some positive influence on this team with his quarterbacks, and in my opinion, he didn't.carson palmer needs a guy like saunders whose offensive connection to him is undeniable."""
0,20120529160040Z,"""i will like you are comment too if it makes you feel better."""
0,20120610000015Z,"""why did not obama go to wisconsin and urge the republicans to abandon their own america form of austerity?"""
0,20120528195900Z,"""if they deleted his post, i wold surely be banned for my flaming all over joe. :)"""
0,20120502062701Z,"""what the hell are you talking about?"""
0,20120529035417Z,"""people dancing, drinking, having fun at the clubs in miami ""life is good in miami, heat won! lets get drunk"" --heat fans"""
0,20120515182944Z,"""this is so american. load of utter 'positive people makes positive lives' fake christian bullshit. put it this way, take 2 for example:give up complaining. this to me just reads like 'become a walk over'. if we all gave up complaining, nothing great would get done or crap would be accepted. go into a hairdressers, get a shit haircut for $100. do not complain because you are a happy, pissed-off with you are shit haircut, person who is just been taken for a ride. up the luxury of criticism. for a start it is not a luxury. you can be critical if you want. i believe it is a trait that i enjoy. why? many people are idiots. it is the truth. if you are in a job and you do not criticise people who do crap work then you will have an office/workplace full of people who cannot do their job.these are basic personality traits of intelligent people. but i guess retards are happier than all of us."""
0,20120609213514Z,"""you are one of my favorite commenters."""
0,20120611051049Z,"""dude, it looks nothing like the ""fag-box."" it looks more towards playstation-meets-alienware console. it has already been proven that modern consoles continually progress towards a pc. so please take you are painful comments"""
1,20120527231602Z,"""howe does it feel to be a freedom leech parasite?"""
0,,""".and all the arseanal fans silently weep into their hankies!! there is nothing to see here, fellas- he is a free man and still the spurs manager! unlucky!"""
0,20120529211852Z,"""yes you have to have comedy in you are life"""
1,20120619192139Z,"""moron, the latinos are becoming a large voting block you cannot just dismissed them like you did with blacks, gay, women and other minorities. you need a majority to win and all whites do not buy you are crap"""
0,20120609171819Z,"""""when is bush going to be asked to campaign for romney. when he does I will buy you a dinner. i wonder why bush is not wanted."" the better question is why a sitting president like obama is not wanted! notice he did 7 fundraisers the weekend before the vote all around wisc. never stopped in wisc. notice no one wants his help campaigning?"""
0,,"""wait till a raptor grabs it in mid air.bad days man."""
0,20120610002525Z,"""have you ever given him props or at least not dissed him out on any thread? i'm not a fan of his movies either but that do not mean i start talking shit on every fucking post.."""
0,,"""-PRON- that dynamic has been clear since the teabaggers threw their first tantrum in january of 2009 and rush declared that he wanted the president to fail. they want the economy to suck. they need the economy to suck. this explains their otherwise puzzling legislative choices over the past three years."""
1,20120609233435Z,"""you are stuck on stupid obviously.give me a break and do not vote. moron"""
0,20120619063951Z,"""this man is drunk as fuck, he is on drugs, he is a male prostitute."""
1,20120619221729Z,"""who told you that.stupid ask yourself who kick his daughter out of the house at the age 16.when it is comes protecting weaman you guys the last ppl on earth who can open their mounths.."""
0,20120612004703Z,"""-PRON- big 100 they are dope"""
1,20120619103111Z,"""ight ima get in on you mr. army man or w.e. the fuck you are. i have family fighting on battle field right now atleast 20 members are all juggalos. just like me you little ick sucking divk whipped bitch. if you have the time to sit here and talk shit about family then you obviously aren't doing you are job fighting for our country you are busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy."""
0,20120529233441Z,"""you are so correct.the red sox are the worst team."""
0,,"""headlines going to be in a few months, mark wright reject back home"""
0,,"""i did not watch game so this morning watched sky see what fuss was about, i have to say at times football fans have to put there loyalty to respective clubs aside, what ballotelli did was a disgrace he won;t admit it but that was deliberate and has no place in football i will be amazed if he isn't banned"""
1,20120611091050Z,"""are you retarded? you think iraq & afghan were avenging deaths? lol.. get yourself checked buddy.. even bush would laugh at you. there is a reason why we are proud of india.. cuz we are not like us or israel who will or can go to war at the drop of a hat.. on the long run even that is proving costly to them.. so wake up.. we are talking about music here not war.. you dumb moron"""
0,20120612092607Z,"""no matter how great you are body looks, there is pathetic, desperate and trashy a woman that old acting like that!!"""
